"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_FAT","signaling receptor binding","12.70%","31","184","1126","12202","1.35e-3","1.03e-1","1.83","6.00e-1","1.01e-1","7.09e-4"
"GOTERM_BP_FAT","modulation of chemical synaptic transmission","6.97%","17","197","466","13091","1.74e-3","3.60e-1","2.42","9.95e-1","3.59e-1","6.80e-4"
"GOTERM_BP_FAT","regulation of trans-synaptic signaling","6.97%","17","197","467","13091","1.77e-3","3.60e-1","2.42","9.96e-1","3.59e-1","6.97e-4"
"GOTERM_CC_FAT","somatodendritic compartment","10.25%","25","193","808","12285","1.79e-3","3.56e-2","1.97","5.43e-1","3.36e-2","8.68e-4"
"GOTERM_BP_FAT","regulation of secretion by cell","6.97%","17","197","472","13091","1.98e-3","3.61e-1","2.39","9.98e-1","3.60e-1","7.84e-4"
"GOTERM_BP_FAT","regulation of biological quality","22.54%","55","197","2483","13091","2.02e-3","3.61e-1","1.47","9.98e-1","3.60e-1","1.33e-3"
"GOTERM_BP_FAT","regulation of transport","14.34%","35","197","1375","13091","2.26e-3","3.83e-1","1.69","9.99e-1","3.82e-1","1.29e-3"
"GOTERM_MF_FAT","signaling receptor regulator activity","5.74%","14","184","348","12202","2.27e-3","1.03e-1","2.67","7.86e-1","1.01e-1","8.03e-4"
"GOTERM_CC_FAT","dendrite","8.20%","20","193","596","12285","2.50e-3","4.74e-2","2.14","6.66e-1","4.48e-2","1.12e-3"
"GOTERM_CC_FAT","dendritic tree","8.20%","20","193","598","12285","2.60e-3","4.74e-2","2.13","6.80e-1","4.48e-2","1.16e-3"
"GOTERM_CC_FAT","mitochondrial membrane","8.61%","21","193","655","12285","3.17e-3","5.56e-2","2.04","7.51e-1","5.25e-2","1.48e-3"
"GOTERM_BP_FAT","neuron differentiation","11.07%","27","197","990","13091","3.52e-3","5.11e-1","1.81","1.00e+0","5.10e-1","1.86e-3"
"GOTERM_BP_FAT","regulation of secretion","6.97%","17","197","509","13091","4.15e-3","5.12e-1","2.22","1.00e+0","5.11e-1","1.78e-3"
"GOTERM_BP_FAT","regulation of hormone levels","6.15%","15","197","424","13091","4.71e-3","5.12e-1","2.35","1.00e+0","5.11e-1","1.90e-3"
"GOTERM_MF_FAT","molecular function inhibitor activity","6.15%","15","184","434","12202","5.78e-3","2.04e-1","2.29","9.81e-1","2.00e-1","2.39e-3"
"GOTERM_CC_FAT","mitochondrial envelope","8.61%","21","193","696","12285","6.21e-3","9.71e-2","1.92","9.35e-1","9.18e-2","3.07e-3"
"GOTERM_BP_FAT","system process","13.11%","32","197","1312","13091","6.96e-3","6.84e-1","1.62","1.00e+0","6.83e-1","4.12e-3"
"GOTERM_CC_FAT","ribonucleoprotein complex","8.20%","20","193","657","12285","7.11e-3","1.07e-1","1.94","9.56e-1","1.02e-1","3.49e-3"
"GOTERM_MF_FAT","receptor ligand activity","4.92%","12","184","313","12202","7.59e-3","2.35e-1","2.54","9.94e-1","2.31e-1","2.78e-3"
"GOTERM_BP_FAT","generation of neurons","11.07%","27","197","1058","13091","8.28e-3","7.32e-1","1.70","1.00e+0","7.30e-1","4.67e-3"
"GOTERM_BP_FAT","nervous system process","9.02%","22","197","798","13091","8.41e-3","7.32e-1","1.83","1.00e+0","7.30e-1","4.37e-3"
"GOTERM_MF_FAT","signaling receptor activator activity","4.92%","12","184","320","12202","8.89e-3","2.63e-1","2.49","9.98e-1","2.58e-1","3.36e-3"
"GOTERM_BP_FAT","nervous system development","17.62%","43","197","1964","13091","9.55e-3","8.08e-1","1.45","1.00e+0","8.06e-1","6.32e-3"

